10.1.2.203 - - [08/Dec/2014:13:21:45 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 742 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:13:21:45 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 6725 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:13:21:45 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 751 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:13:21:45 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 2822 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:13:21:47 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 849 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:13:21:51 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 4695 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:13:21:51 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 4886 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:13:21:51 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 4890 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:13:21:51 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 4847 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:13:21:54 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 9715 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:14:12:51 -0300] "GET /paineis/pbq/index.vm?eixo=1 HTTP/1.1" 200 361173 "http://10.210.5.50/paineis/pbq/index.vm?eixo=4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:14:12:51 -0300] "GET /paineis/seppir/cubos?cube=Comunidades%20Quilombolas HTTP/1.1" 200 1381 "http://10.210.5.50/paineis/pbq/index.vm?eixo=1" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:14:12:51 -0300] "GET /paineis/seppir/cubos?cube=CadUnico%20Quilombolas HTTP/1.1" 200 6207 "http://10.210.5.50/paineis/pbq/index.vm?eixo=1" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:14:12:51 -0300] "GET /paineis/pbq/comunidades.json.vm HTTP/1.1" 200 134954 "http://10.210.5.50/paineis/pbq/index.vm?eixo=1" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:14:12:51 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 3691 "http://10.210.5.50/paineis/pbq/index.vm?eixo=1" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:14:12:51 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 6009 "http://10.210.5.50/paineis/pbq/index.vm?eixo=1" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
10.1.2.203 - - [08/Dec/2014:14:12:51 -0300] "POST /paineis/seppir/dados HTTP/1.1" 200 2340 "http://10.210.5.50/paineis/pbq/index.vm?eixo=1" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36"
